"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s of %s"
"%s and above","%s and above"
"%s Item(s)","%s Item(s)"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
"SKU","SKU"
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Small Image Width","Small Image Width"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"Sort By","Sort By"
"Sort Order","Sort Order"
"Special Expires On: %s","Special Expires On: %s"
"Special Price:","Special Price:"
"Special Price: %s","Special Price: %s"
"Static","Static"
"Static block and products","Static block and products"
"Static block only","Static block only"
"Status","Status"
"Stock Availability","Stock Availability"
"Store","Store"
"Store View","Store View"
"Stretch","Stretch"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Super product attributes configuration","Super product attributes configuration"
"Synonym For","Synonym For"
"System Properties","System Properties"
"Tag Name","Tag Name"
"Tax","Tax"
"Template","Template"
"Text","Text"
"The attribute code '%s' is reserved by system. Please try another attribute code","The attribute code '%s' is reserved by system. Please try another attribute code"
"The attribute model is not defined","The attribute model is not defined"
"The attribute set has been saved.","The attribute set has been saved."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The category has been deleted.","The category has been deleted."
"The category has been saved.","The category has been saved."
"The comparison list was cleared.","The comparison list was cleared."
"The file was only partially uploaded. Please try again.","The file was only partially uploaded. Please try again."
"The file you uploaded is larger than %s Megabytes allowed by server","The file you uploaded is larger than %s Megabytes allowed by server"
"The filters must be an array.","The filters must be an array."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The following file extensions are not allowed for security reasons: %s","The following file extensions are not allowed for security reasons: %s"
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The image is not specified.","The image is not specified."
"The model collection resource name is not defined.","The model collection resource name is not defined."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"The product %s has been removed from comparison list.","The product %s has been removed from comparison list."
"The product attribute has been deleted.","The product attribute has been deleted."
"The product attribute has been saved.","The product attribute has been saved."
"The product has been created.","The product has been created."
"The product has been deleted.","The product has been deleted."
"The product has been duplicated.","The product has been duplicated."
"The product has been saved.","The product has been saved."
"The product has required options","The product has required options"
"There are no %s available.","There are no %s available."
"There are no customers for this alert","There are no customers for this alert"
"There are no customers for this alert.","There are no customers for this alert."
"There are no products matching the selection.","There are no products matching the selection."
"The review has been deleted","The review has been deleted"
"The review has been saved.","The review has been saved."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"There was an error while request processing.","There was an error while request processing."
"The search was deleted.","The search was deleted."
"The text is too long","The text is too long"
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be edited.","This attribute cannot be edited."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is used in configurable products.","This attribute is used in configurable products."
"This Attribute no longer exists","This Attribute no longer exists"
"This attribute no longer exists","This attribute no longer exists"
"This attribute set no longer exists.","This attribute set no longer exists."
"This category no longer exists.","This category no longer exists."
"This is a required option","This is a required option"
"This product no longer exists.","This product no longer exists."
"This search no longer exists.","This search no longer exists."
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Thumbnail","Thumbnail"
"Tier Pricing","Tier Pricing"
"Tile","Tile"
"Title","Title"
"To","To"
"Top/Left","Top/Left"
"Top/Right","Top/Right"
"To reindex the enabled product(s), the store or product must be specified","To reindex the enabled product(s), the store or product must be specified"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later."
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Type","Type"
"Unable to complete this request.","Unable to complete this request."
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find a search term to delete.","Unable to find a search term to delete."
"Unable to get the product ID.","Unable to get the product ID."
"Unassigned Attributes","Unassigned Attributes"
"Unknown EAV indexer type ""%s"".","Unknown EAV indexer type ""%s""."
"unselect all","unselect all"
"Unsupported product type ""%s"".","Unsupported product type ""%s""."
"Up-sells","Up-sells"
"Update","Update"
"Update assigned product","Update assigned product"
"Update attribute","Update attribute"
"Update Attributes","Update Attributes"
"Update attributes","Update attributes"
"Update category","Update category"
"Update custom option of product","Update custom option of product"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Update Tier Price","Update Tier Price"
"Update value of custom option","Update value of custom option"
"Upload new product image ","Upload new product image "
"URL Rewrite Management","URL Rewrite Management"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Use config","Use config"
"Use Config Settings","Use Config Settings"
"Use default","Use default"
"Use Default Value","Use Default Value"
"Used for Sorting in Product Listing","Used for Sorting in Product Listing"
"Used in Product Listing","Used in Product Listing"
"Used to fill the frame when Keep Frame is enabled","Used to fill the frame when Keep Frame is enabled"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use for Promo Rule Conditions","Use for Promo Rule Conditions"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Use four-digit year format. Used for min/max attributes on native date inputs."
"Use in Advanced Search","Use in Advanced Search"
"Use In Layered Navigation","Use In Layered Navigation"
"Use in Layered Navigation","Use in Layered Navigation"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use in Quick Search","Use in Quick Search"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"Use To Create Configurable Product","Use To Create Configurable Product"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Value for ""%s"" is invalid.","Value for ""%s"" is invalid."
"Value for ""%s"" is invalid: %s","Value for ""%s"" is invalid: %s"
"Varchar","Varchar"
"View All Products","View All Products"
"View as","View as"
"View Details","View Details"
"View image %s","View image %s"
"Virtual Product","Virtual Product"
"Visibility","Visibility"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible on Catalog Pages on Front-end"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Watermark"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark Position","Watermark Position"
"Website","Website"
"Websites","Websites"
"What's this?","What's this?"
"When enabled, associated products are automatically recalculated when reindex runs.","When enabled, associated products are automatically recalculated when reindex runs."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Will make search for the query above return results for this search.","Will make search for the query above return results for this search."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group.","Wrong option instance type in options group."
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group.","Wrong product instance type in options group."
"Wrong product type filter specified","Wrong product type filter specified"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"WYSIWYG Editor","WYSIWYG Editor"
"x","x"
"Year Range","Year Range"
"Yes","Yes"
"Yes, with images","Yes, with images"
"You have no items to compare.","You have no items to compare."
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"You saved the search term.","You saved the search term."
