"%s (Default Template from Locale)","%s (Default Template from Locale)"
"%s cache type(s) disabled.","%s cache type(s) disabled."
"%s cache type(s) enabled.","%s cache type(s) enabled."
"%s cache type(s) refreshed.","%s cache type(s) refreshed."
"Phone:","Phone:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Please enter 6 or more characters.","Please enter 6 or more characters."
"Please enter another credit card number to complete your purchase.","Please enter another credit card number to complete your purchase."
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please enter a valid date.","Please enter a valid date."
"Please enter a valid email.","Please enter a valid email."
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required"
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please enter valid password.","Please enter valid password."
"Please make sure that all global admin search modules are installed and activated.","Please make sure that all global admin search modules are installed and activated."
"Please make sure that your changes were saved before running the profile.","Please make sure that your changes were saved before running the profile."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please Select","Please Select"
"Please select a customer.","Please select a customer."
"Please select an option.","Please select an option."
"Please select a store.","Please select a store."
"Please select catalog searches.","Please select catalog searches."
"Please select customer(s).","Please select customer(s)."
"Please select one of the above options.","Please select one of the above options."
"Please select one of the options.","Please select one of the options."
"Please select review(s).","Please select review(s)."
"Please select State/Province.","Please select State/Province."
"Please select tag(s).","Please select tag(s)."
"Please specify the admin custom URL.","Please specify the admin custom URL."
"Please try to logout and sign in again.","Please try to logout and sign in again."
"Please use in this field only ""a-z,0-9,_"".","Please use in this field only ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","Please wait, loading..."
"Please wait...","Please wait..."
"Please wait while the indexes are being refreshed.","Please wait while the indexes are being refreshed."
"Popular","Popular"
"Position","Position"
"Position of Watermark for %s","Position of Watermark for %s"
"Pregenerated configurable swatches image files.","Pregenerated configurable swatches image files."
"Pregenerated product images files.","Pregenerated product images files."
"Preview","Preview"
"Preview Template","Preview Template"
"Price","Price"
"Price:","Price:"
"Price alert subscription was saved.","Price alert subscription was saved."
"Processed <strong>%s%% %s/%d</strong> records","Processed <strong>%s%% %s/%d</strong> records"
"Processing","Processing"
"Product","Product"
"Product:","Product:"
"Product is not loaded.","Product is not loaded."
"Product Name","Product Name"
"Product Reviews","Product Reviews"
"Products","Products"
"Products Bestsellers Report","Products Bestsellers Report"
"Products in Carts","Products in Carts"
"Products Most Viewed Report","Products Most Viewed Report"
"Products Ordered","Products Ordered"
"Product Tax Classes","Product Tax Classes"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Profile Action","Profile Action"
"Profile Actions XML","Profile Actions XML"
"Profile Direction","Profile Direction"
"Profile History","Profile History"
"Profile Information","Profile Information"
"Profile Name","Profile Name"
"Profile Payments","Profile Payments"
"Profiles","Profiles"
"Profile Schedule","Profile Schedule"
"Profile Wizard","Profile Wizard"
"Promo","Promo"
"Promotions","Promotions"
"Purchased Item","Purchased Item"
"QR Code","QR Code"
"Quantity","Quantity"
"Queued... Cancel","Queued... Cancel"
"Queue Refresh","Queue Refresh"
"Radio Buttons","Radio Buttons"
"Rates","Rates"
"Read details","Read details"
"Rebuild","Rebuild"
"Rebuild Catalog Index","Rebuild Catalog Index"
"Rebuild Flat Catalog Category","Rebuild Flat Catalog Category"
"Rebuild Flat Catalog Product","Rebuild Flat Catalog Product"
"Recent Orders","Recent Orders"
"Recent statistics have been updated.","Recent statistics have been updated."
"Recipient email address","Recipient email address"
"Recurring Profile View","Recurring Profile View"
"Redirect","Redirect"
"Redirect to URL without trailing slash","Redirect to URL without trailing slash"
"Redirect to URL with trailing slash","Redirect to URL with trailing slash"
"Reference","Reference"
"Reference ID","Reference ID"
"Refresh","Refresh"
"Refresh Now*","Refresh Now*"
"Refresh Roles","Refresh Roles"
"Refresh Statistics","Refresh Statistics"
"Region","Region"
"Region/State","Region/State"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary."
"Register New Passkey","Register New Passkey"
"Register Passkey","Register Passkey"
"Regular Price:","Regular Price:"
"Reject","Reject"
"Rejection Of Authorization","Rejection Of Authorization"
"Reject token authorization for admin","Reject token authorization for admin"
"Reject token authorization Pop Up for admin","Reject token authorization Pop Up for admin"
"Remote FTP","Remote FTP"
"Remove","Remove"
"Remove Passkey","Remove Passkey"
"Rename","Rename"
"Reports","Reports"
"Request Path","Request Path"
"Required","Required"
"Reset","Reset"
"Reset a Password","Reset a Password"
"Reset Filter","Reset Filter"
"Reset Password","Reset Password"
"Resource Access","Resource Access"
"Resources","Resources"
"REST Roles","REST Roles"
"Results","Results"
"Retrieve Password","Retrieve Password"
"Return Html Version","Return Html Version"
"Revenue","Revenue"
"Reviews","Reviews"
"Reviews and Ratings","Reviews and Ratings"
"Rewrite Rules","Rewrite Rules"
"Role ID","Role ID"
"Role Info","Role Info"
"Role Information","Role Information"
"Role Name","Role Name"
"Role Resources","Role Resources"
"Roles","Roles"
"Roles Resources","Roles Resources"
"Role Users","Role Users"
"Root Category","Root Category"
"Run","Run"
"Running... Kill","Running... Kill"
"Run Profile","Run Profile"
"Run Profile in Popup","Run Profile in Popup"
"Sales","Sales"
"Sales Overview","Sales Overview"
"Sales Report","Sales Report"
"Samples","Samples"
"Save","Save"
"Save & Generate","Save & Generate"
"Save Account","Save Account"
"Save and Continue Edit","Save and Continue Edit"
"Save Block","Save Block"
"Save Cache Settings","Save Cache Settings"
"Save Config","Save Config"
"Save Currency Rates","Save Currency Rates"
"Save Profile","Save Profile"
"Save Role","Save Role"
"Save Template","Save Template"
"Save User","Save User"
"Save Variable","Save Variable"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)"
"Search","Search"
"Search entire store here...","Search entire store here..."
"Search Index","Search Index"
"Search Term","Search Term"
"Search Terms","Search Terms"
"Select","Select"
"Select All","Select All"
"Select Category","Select Category"
"Selected allowed currency ""%s"" is not available in installed currencies.","Selected allowed currency ""%s"" is not available in installed currencies."
"Selected base currency is not available in installed currencies.","Selected base currency is not available in installed currencies."
"Selected default display currency is not available in allowed currencies.","Selected default display currency is not available in allowed currencies."
"Selected default display currency is not available in installed currencies.","Selected default display currency is not available in installed currencies."
"Select Range","Select Range"
"Self-assigned roles cannot be deleted.","Self-assigned roles cannot be deleted."
"Send","Send"
"Sender","Sender"
"Sending...","Sending..."
"Separate Email","Separate Email"
"Serialized data is incorrect","Serialized data is incorrect"
"Shipment #%s comment added","Shipment #%s comment added"
"Shipment #%s created","Shipment #%s created"
"Shipment Comments","Shipment Comments"
"Shipment History","Shipment History"
"Shipments","Shipments"
"Shipping","Shipping"
"Shipping Address","Shipping Address"
"Shipping Address: ","Shipping Address: "
"Shipping address selection is not applicable","Shipping address selection is not applicable"
"Shipping method must be specified.","Shipping method must be specified."
"Shipping method selection is not applicable","Shipping method selection is not applicable"
"Shipping Origin","Shipping Origin"
"Shipping Price","Shipping Price"
"Shopping Cart","Shopping Cart"
"Shopping Cart from %s","Shopping Cart from %s"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Show By","Show By"
"Show Report For:","Show Report For:"
"Show Reviews","Show Reviews"
"Sitemap Information","Sitemap Information"
"Size for %s","Size for %s"
"Skip Category Selection","Skip Category Selection"
"SKU","SKU"
"SKU:","SKU:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order."
"Special Price:","Special Price:"
"Specific Countries","Specific Countries"
"Specified","Specified"
"Specified profile does not exist.","Specified profile does not exist."
"Spreadsheet Name:","Spreadsheet Name:"
"Start Date","Start Date"
"Starting profile execution, please wait...","Starting profile execution, please wait..."
"State/Province:","State/Province:"
"Static Blocks","Static Blocks"
"Status","Status"
"Status:","Status:"
"Stock notification was saved.","Stock notification was saved."
"Stock Quantity:","Stock Quantity:"
"Store","Store"
"store(%s) scope","store(%s) scope"
"Store:","Store:"
"Stores","Stores"
"Store View","Store View"
"Subject","Subject"
"Submit","Submit"
"Subtotal","Subtotal"
"successful","successful"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"System","System"
"System busy","System busy"
"Tags","Tags"
"Target Path","Target Path"
"Tax","Tax"
"Template","Template"
"Template Content","Template Content"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Styles","Template Styles"
"Template Subject","Template Subject"
"Template Type","Template Type"
"Temporary (302)","Temporary (302)"
"Terms and Conditions","Terms and Conditions"
"Test email sent successfully to %s.","Test email sent successfully to %s."
"Test Email Settings","Test Email Settings"
"Text","Text"
"The account has been saved.","The account has been saved."
"The attribute set has been removed.","The attribute set has been removed."
"The billing agreement has been canceled.","The billing agreement has been canceled."
"The billing agreement has been deleted.","The billing agreement has been deleted."
"The block has been saved.","The block has been saved."
"The cache storage has been flushed.","The cache storage has been flushed."
"The carrier needs to be specified.","The carrier needs to be specified."
"The catalog index has been rebuilt.","The catalog index has been rebuilt."
"The CatalogInventory Stock Status has been rebuilt.","The CatalogInventory Stock Status has been rebuilt."
"The catalog rewrites have been refreshed.","The catalog rewrites have been refreshed."
"The Catalog Rewrites were refreshed.","The Catalog Rewrites were refreshed."
"The Comment Text field cannot be empty.","The Comment Text field cannot be empty."
"The configurable swatches image cache was cleaned.","The configurable swatches image cache was cleaned."
"The configuration has been saved.","The configuration has been saved."
"The credit memo has been canceled.","The credit memo has been canceled."
"The credit memo has been created.","The credit memo has been created."
"The credit memo has been voided.","The credit memo has been voided."
"The credit memo no longer exists.","The credit memo no longer exists."
" The customer does not exist in the system anymore."," The customer does not exist in the system anymore."
"The customer has been deleted.","The customer has been deleted."
"The customer has been saved.","The customer has been saved."
"The custom variable has been deleted.","The custom variable has been deleted."
"The custom variable has been saved.","The custom variable has been saved."
"The design change has been deleted.","The design change has been deleted."
"The design change has been saved.","The design change has been saved."
"The email address has been updated successfully.","The email address has been updated successfully."
"The email address is empty.","The email address is empty."
"The email template has been deleted.","The email template has been deleted."
"The email template has been saved.","The email template has been saved."
"The flat catalog category has been rebuilt.","The flat catalog category has been rebuilt."
"The Flat Catalog Product was rebuilt","The Flat Catalog Product was rebuilt"
"The following role resource(s) are not orphaned: %s","The following role resource(s) are not orphaned: %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>."
"The group node name must be specified with field node name.","The group node name must be specified with field node name."
"The image cache was cleaned.","The image cache was cleaned."
"The image cache was cleared.","The image cache was cleared."
"The invoice and shipment have been created.","The invoice and shipment have been created."
"The invoice and the shipment  have been created. The shipping label cannot be created at the moment.","The invoice and the shipment  have been created. The shipping label cannot be created at the moment."
"The invoice has been canceled.","The invoice has been canceled."
"The invoice has been captured.","The invoice has been captured."
"The invoice has been created.","The invoice has been created."
"The invoice has been voided.","The invoice has been voided."
"The invoice no longer exists.","The invoice no longer exists."
"The item %s (SKU %s) does not exist in the catalog anymore.","The item %s (SKU %s) does not exist in the catalog anymore."
"The Layered Navigation indexing has been queued.","The Layered Navigation indexing has been queued."
"The Layered Navigation indexing queue has been canceled.","The Layered Navigation indexing queue has been canceled."
"The Layered Navigation indices were refreshed.","The Layered Navigation indices were refreshed."
"The Layered Navigation process has been queued to be killed.","The Layered Navigation process has been queued to be killed."
"The Maho cache has been flushed and updates applied.","The Maho cache has been flushed and updates applied."
"The minified CSS/JS cache was cleaned.","The minified CSS/JS cache was cleaned."
"The order does not allow creating an invoice.","The order does not allow creating an invoice."
"The order no longer exists.","The order no longer exists."
"The profile has been deleted.","The profile has been deleted."
"The profile has been saved.","The profile has been saved."
"The profile has been updated.","The profile has been updated."
"The profile has no changes.","The profile has no changes."
"The profile you are trying to save no longer exists","The profile you are trying to save no longer exists"
"The rating has been deleted.","The rating has been deleted."
"The rating has been saved.","The rating has been saved."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"The role has been deleted.","The role has been deleted."
"The role has been saved.","The role has been saved."
"The role has been successfully saved.","The role has been successfully saved."
"The roles have been refreshed.","The roles have been refreshed."
"The search index has been rebuilt.","The search index has been rebuilt."
"The shipment has been created.","The shipment has been created."
"The shipment has been sent.","The shipment has been sent."
"The shipment no longer exists.","The shipment no longer exists."
"The shipping label has been created.","The shipping label has been created."
"The Special Price is active only when lower than the Actual Price.","The Special Price is active only when lower than the Actual Price."
"The tag has been deleted.","The tag has been deleted."
"The tag has been saved.","The tag has been saved."
"The transaction details have been updated.","The transaction details have been updated."
"The URL Rewrite has been deleted.","The URL Rewrite has been deleted."
"The URL Rewrite has been saved.","The URL Rewrite has been saved."
"The user has been deleted.","The user has been deleted."
"The user has been saved.","The user has been saved."
"The variable has been saved.","The variable has been saved."
"This Account is","This Account is"
"This account is","This account is"
"This account is inactive.","This account is inactive."
"This attribute set does not have attributes which we can use for configurable product","This attribute set does not have attributes which we can use for configurable product"
"This block no longer exists.","This block no longer exists."
"This Email template no longer exists.","This Email template no longer exists."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"This is a required field.","This is a required field."
"This is a test email from Maho admin.","This is a test email from Maho admin."
"This product is currently disabled.","This product is currently disabled."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed."
"This Role no longer exists","This Role no longer exists"
"This Role no longer exists.","This Role no longer exists."
"This section is not allowed.","This section is not allowed."
"This user no longer exists.","This user no longer exists."
"This variable no longer exists.","This variable no longer exists."
"Time","Time"
"To","To"
"to","to"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel."
"Tools","Tools"
"Top 5 Search Terms","Top 5 Search Terms"
"Total","Total"
"Total Invoiced","Total Invoiced"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d record(s) were deleted","Total of %d record(s) were deleted"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Total Order Amount","Total Order Amount"
"Total Refunded","Total Refunded"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website."
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"Tracking number %s for %s assigned","Tracking number %s for %s assigned"
"Tracking number cannot be empty.","Tracking number cannot be empty."
"Track Order","Track Order"
"Track this shipment","Track this shipment"
"Trailing Slash Behavior","Trailing Slash Behavior"
"Transactional Emails","Transactional Emails"
"Transaction Data","Transaction Data"
"Transaction Details","Transaction Details"
"Transaction ID","Transaction ID"
"Transactions","Transactions"
"Transaction Type","Transaction Type"
"Two-Factor Authentication","Two-Factor Authentication"
"Type","Type"
"Type:","Type:"
"Unable to cancel the credit memo.","Unable to cancel the credit memo."
"Unable to find a block to delete.","Unable to find a block to delete."
"Unable to find a Email Template to delete.","Unable to find a Email Template to delete."
"Unable to find a tag to delete.","Unable to find a tag to delete."
"Unable to find a user to delete.","Unable to find a user to delete."
"Unable to find a variable to delete.","Unable to find a variable to delete."
"Unable to initialize import model","Unable to initialize import model"
"Unable to refresh lifetime statistics.","Unable to refresh lifetime statistics."
"Unable to refresh recent statistics.","Unable to refresh recent statistics."
"Unable to save the cron expression.","Unable to save the cron expression."
"Unable to save the invoice.","Unable to save the invoice."
"Unable to send the invoice email.","Unable to send the invoice email."
"Unable to send the shipment email.","Unable to send the shipment email."
"Unable to update transaction details.","Unable to update transaction details."
"Unable to void the credit memo.","Unable to void the credit memo."
"Unknown","Unknown"
"Unlimited","Unlimited"
"Update","Update"
"Updated At","Updated At"
"Uploaded file is larger than %.2f kilobytes allowed by server","Uploaded file is larger than %.2f kilobytes allowed by server"
"Upload File","Upload File"
"Upload Files","Upload Files"
"URL Rewrite","URL Rewrite"
"URL Rewrite Information","URL Rewrite Information"
"URL Rewrite Management","URL Rewrite Management"
"Use All Available Attributes","Use All Available Attributes"
"Use Config Settings","Use Config Settings"
"Used as Default For","Used as Default For"
"Used Currently For","Used Currently For"
"Use Default","Use Default"
"Use Default Value","Use Default Value"
"Use Default Variable Values","Use Default Variable Values"
"User Email","User Email"
"User ID","User ID"
"User Info","User Info"
"User Information","User Information"
"User Name","User Name"
"User name","User name"
"User Name:","User Name:"
"User Name is required field.","User Name is required field."
"User Password","User Password"
"User Role","User Role"
"User Roles","User Roles"
"User Roles Information","User Roles Information"
"Users","Users"
"User Type Resources","User Type Resources"
"Use Website","Use Website"
"Validation Results","Validation Results"
"Value","Value"
"Value Delimiter:","Value Delimiter:"
"Variable","Variable"
"Variable Code","Variable Code"
"Variable Details","Variable Details"
"Variable has been deleted.","Variable has been deleted."
"Variable HTML Value","Variable HTML Value"
"Variable ID","Variable ID"
"Variable Name","Variable Name"
"Variable Name is incorrect.","Variable Name is incorrect."
"Variable Name is required field.","Variable Name is required field."
"Variable Plain Value","Variable Plain Value"
"Variables","Variables"
"VAT Number is Invalid","VAT Number is Invalid"
"VAT Number is Valid","VAT Number is Valid"
"Verification Code","Verification Code"
"Verifier code: %s","Verifier code: %s"
"View Actions XML","View Actions XML"
"View Full Size","View Full Size"
"View Statistics For:","View Statistics For:"
"Visibility:","Visibility:"
"Visitors","Visitors"
"Warning","Warning"
"Warning! Empty value can cause problems with CSV format.","Warning! Empty value can cause problems with CSV format."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Warning: Please do not close the window during importing/exporting data","Warning: Please do not close the window during importing/exporting data"
"Watermark File for %s","Watermark File for %s"
"Web Services","Web Services"
"Web services","Web services"
"Website","Website"
"website(%s) scope","website(%s) scope"
"What is this?","What is this?"
"Wishlist item is not loaded.","Wishlist item is not loaded."
"Wrong account specified.","Wrong account specified."
"Wrong billing agreement ID specified.","Wrong billing agreement ID specified."
"Wrong column format.","Wrong column format."
"Wrong field specified.","Wrong field specified."
"Wrong newsletter template.","Wrong newsletter template."
"Wrong quote item.","Wrong quote item."
"Wrong tab configuration.","Wrong tab configuration."
"Wrong tab configuration for %s %s.","Wrong tab configuration for %s %s."
"Wrong tag was specified.","Wrong tag was specified."
"Wrong transaction ID specified.","Wrong transaction ID specified."
"XML","XML"
"XML data is invalid.","XML data is invalid."
"XML object is not instance of ""\Maho\Simplexml\Element"".","XML object is not instance of ""\Maho\Simplexml\Element""."
"Year","Year"
"Yes","Yes"
"Yes (301 Moved Permanently)","Yes (301 Moved Permanently)"
"Yes (302 Found)","Yes (302 Found)"
"Yes (only price with tax)","Yes (only price with tax)"
"You cannot delete your own account.","You cannot delete your own account."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>."
"You have %s unread message(s).","You have %s unread message(s)."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>."
"You have logged out.","You have logged out."
"You have not enough permissions to use this functionality.","You have not enough permissions to use this functionality."
"You need to specify order items.","You need to specify order items."
"Your password has been updated.","Your password has been updated."
"Your password reset link has expired.","Your password reset link has expired."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files."
"YTD","YTD"
"Zip/Postal Code","Zip/Postal Code"
"Zip/Postal Code:","Zip/Postal Code:"
" [deleted]"," [deleted]"
"[ deleted ]","[ deleted ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>."
